id,price
0,2960.11
1,5381.23
2,9294.85
3,4049.09
4,1694.91
5,6274.94
6,4866.0
7,4280.12
8,5089.04
9,16085.51
10,4323.67
11,873.64
12,3178.03
13,1682.44
14,2381.99
15,1126.15
16,1447.54
17,4050.24
18,4154.89
19,878.29
20,2324.11
21,5201.55
22,4105.82
23,606.98
24,16672.18
25,1065.44
26,626.52
27,982.52
28,1665.27
29,889.66
30,10321.92
31,572.33
32,4036.05
33,738.58
34,617.82
35,2393.74
36,6365.08
37,2693.46
38,2909.63
39,662.37
40,504.04
41,8888.74
42,878.08
43,1857.91
44,10522.24
45,2547.64
46,923.91
47,909.07
48,1195.67
49,2873.58
50,592.02
51,4678.51
52,2935.43
53,6952.43
54,5602.86
55,2208.21
56,8420.14
57,2521.81
58,4455.13
59,2939.73
60,1264.25
61,503.17
62,6919.41
63,1138.96
64,8776.25
65,17508.63
66,862.56
67,12066.87
68,5399.84
69,9198.37
70,467.25
71,641.57
72,901.94
73,1258.21
74,5183.28
75,1827.61
76,8521.11
77,14355.09
78,2783.75
79,6603.91
80,10748.75
81,2160.69
82,14337.21
83,6385.27
84,864.28
85,8185.12
86,1031.76
87,11681.6
88,7480.86
89,15325.81
90,5005.78
91,1337.42
92,1002.5
93,855.584
94,17142.83
95,510.68
96,14464.91
97,15616.69
98,12849.5
99,763.57
100,2605.62
101,742.3673333333334
102,658.18
103,462.87
104,1024.02
105,1624.37
106,1330.94
107,799.96
108,1040.93
109,692.83
110,645.34
111,1002.84
112,1898.12
113,1666.95
114,1548.58
115,5130.48
116,5304.15
117,15468.67
118,490.71
119,16853.63
120,1319.0
121,1685.66
122,1121.34
123,497.22
124,738.59
125,1235.24
126,1129.55
127,13291.93
128,5285.61
129,5104.85
130,6434.16
131,3423.85
132,6748.86
133,1011.19
134,4039.96
135,1042.62
136,589.94
137,7281.61
138,553.24
139,4477.33
140,873.71
141,1019.54
142,3593.47
143,3516.94
144,741.7325
145,6410.77
146,17010.78
147,5434.78
148,2619.09
149,1864.26
150,2597.91
151,1692.46
152,12396.63
153,2828.08
154,641.7
155,14605.5
156,3850.62
157,2909.7
158,3901.24
159,869.95
160,7460.62
161,9551.04
162,673.18
163,692.68
164,5351.43
165,11261.9
166,3418.87
167,4602.1
168,3395.94
169,11144.51
170,703.25
171,1675.3
172,4503.75
173,2029.31
174,6478.23
175,1762.54
176,4382.29
177,3539.93
178,2624.86
179,3508.49
180,3500.92
181,1935.9
182,932.17
183,1644.23
184,678.04
185,4094.33
186,832.5
187,891.41
188,510.77
189,1822.35
190,2242.56
191,702.79
192,901.26
193,6552.45
194,3814.1
195,2623.6
196,625.77
197,13294.44
198,598.92
199,8701.19
200,10900.02
201,6400.69
202,688.17
203,726.48
204,6567.36
205,3593.56
206,638.52
207,3091.05
208,1016.3
209,8634.71
210,2701.94
211,7070.85
212,11376.26
213,397.7
214,1277.11
215,908.63
216,2601.59
217,2546.9
218,882.05
219,1244.66
220,2710.16
221,2164.34
222,8829.88
223,964.73
224,1226.35
225,4468.73
226,3309.94
227,1999.54
228,6373.43
229,1890.19
230,5081.49
231,1441.95
232,1298.6
233,1581.47
234,1000.77
235,8190.85
236,1229.46
237,1002.8
238,4120.02
239,8225.29
240,6035.17
241,967.38
242,15615.33
243,4411.53
244,462.62
245,1092.67
246,2494.59
247,7362.17
248,10810.17
249,5975.03
250,5305.55
251,1535.61
252,2757.36
253,5293.77
254,5203.4
255,1292.9
256,645.84
257,1933.11
258,853.34
259,14812.55
260,6372.73
261,4717.29
262,1792.31
263,3890.84
264,815.73
265,2263.43
266,7758.99
267,1745.89
268,1020.37
269,8874.86
270,7579.76
271,809.57
272,4185.32
273,5110.11
274,532.68
275,931.9
276,5969.43
277,532.15
278,6472.64
279,8073.09
280,1604.55
281,2653.92
282,3985.78
283,9174.69
284,8889.96
285,10692.12
286,5130.39
287,16713.96
288,1726.06
289,5793.18
290,420.38
291,8364.91
292,17669.0
293,940.38
294,7727.43
295,1809.51
296,2289.51
297,728.57
298,448.78
299,5886.78
300,2156.24
301,1101.68
302,3597.37
303,5498.64
304,5923.83
305,8327.07
306,1075.8
307,1019.54
308,1765.35
309,2041.32
310,1754.91
311,506.52
312,7489.45
313,5181.95
314,2412.08
315,10076.56
316,646.28
317,1042.83
318,955.94
319,8402.79
320,4871.04
321,529.48
322,451.82
323,502.94
324,920.84
325,5652.08
326,1708.57
327,1835.38
328,6357.7
329,702.07
330,17187.48
331,2363.93
332,849.8
333,8639.13
334,3349.6
335,1835.67
336,15832.89
337,950.78
338,904.71
339,6175.31
340,629.8
341,1664.82
342,710.28
343,4388.64
344,4311.29
345,1765.76
346,697.05
347,2552.36
348,4804.83
349,893.06
350,3152.46
351,462.68
352,2911.1
353,2008.44
354,620.29
355,1437.33
356,717.73
357,11886.81
358,1495.29
359,479.85
360,1057.61
361,8217.55
362,577.16
363,9154.83
364,3767.34
365,740.43
366,707.81
367,4553.67
368,1759.8
369,635.33
370,626.64
371,698.31
372,6228.2
373,1026.79
374,418.7
375,775.78
376,640.16
377,4218.54
378,2737.27
379,614.23
380,4438.84
381,493.95
382,724.64
383,9320.56
384,1150.86
385,843.12
386,16736.9
387,12572.57
388,898.69
389,764.4
390,2643.01
391,876.87
392,9033.77
393,596.34
394,2016.01
395,4782.51
396,848.41
397,2050.81
398,1074.69
399,2330.05
400,5226.17
401,637.76
402,2539.97
403,10248.73
404,1239.15
405,1114.0
406,478.75
407,17203.78
408,2093.84
409,5760.47
410,837.9
411,722.17
412,4394.52
413,1446.965
414,7176.74
415,906.81
416,1357.7
417,8085.01
418,393.58
419,4985.48
420,13773.33
421,4483.7
422,5070.09
423,883.02
424,1199.78
425,399.66
426,788.82
427,14564.28
428,1760.29
429,7859.21
430,5036.37
431,16590.19
432,2214.96
433,3131.76
434,603.54
435,3231.51
436,2446.27
437,1132.35
438,6934.96
439,616.12
440,3442.4
441,1544.87
442,832.82
443,637.98
444,1038.03
445,1106.06
446,2214.16
447,5801.87
448,827.76
449,2361.75
